ชื่อ,คำอ่าน,ความหมาย
กัญญ์นลิน,กัน-นะ-ลิน,หญิงงามดุจดอกบัว
กัญญนันทน์,กัน-ยะ-นัน,หญิงผู้เป็นความยินดีและความสุข
กัญญ์นารา,กัน-นา-รา,ผู้มีความงดงามและความสว่าง
กัญญ์นาริน,กัน-นา-ริน,หญิงผู้เป็นที่รักและสง่างาม
กัญญปภัส,กัน-ยะ-ปะ-พัด,หญิงผู้มีรัศมีสว่างไสว
กัญญภัค,กัน-ยา-พัก,หญิงผู้มีโชคและความสุข
กัญญ์มนันท์,กัน-มะ-นัน,ผู้มีความยินดี
กัญญ์รวินท์,กัน-ระ-วิน,หญิงผู้มีชัยชนะและความสง่างาม
กัญญ์วรรณ,กัน-วัน,หญิงผู้มีวรรณะงดงาม
กัญญ์วรศิริ,กัน-วอ-ระ-สิ-หริ,หญิงผู้มีสิริมงคลอันประเสริฐ
กัญญ์วรัชญ์,กัน-วะ-รัด,หญิงผู้มีปัญญาอันประเสริฐ
กัญญวรา,กัน-ยะ-วะ-รา,หญิงผู้ประเสริฐและงดงาม
กัญญ์วรา,กัน-วะ-รา,หญิงสาวผู้ประเสริฐและเลิศล้ำ
กัญญ์วริน,กัน-วะ-ริน,หญิงผู้ประเสริฐดุจสายน้ำแห่งความดี
กัญญ์วารี,กัน-วา-รี,หญิงงามดุจสายน้ำบริสุทธิ์
กัญญ์วิน,กัน-วิน,หญิงสาวผู้มีความสำเร็จ
กัญญ์วิภิน,กัน-วิ-พิน,หญิงผู้มีความงามแตกต่างและโดดเด่น
กัญญ์วิมล,กัน-วิ-มน,หญิงสาวผู้บริสุทธิ์ปราศจากมลทิน
กัญญ์ศรา,กัน-สอ,หญิงสาวผู้มีสิริมงคล/ความเป็นเลิศ
กัญญ์ศริน,กัน-สิน,หญิงผู้มีเกียรติและความเจริญ
กัญญ์ศิริ,กัน-สิ-หริ,หญิงผู้เป็นสิริมงคล
กัญญ์อร,กัน-ออน,หญิงสาวผู้งดงาม
กัญญ์อริน,กัน-อะ-ริน,หญิงผู้สง่างามและกล้าหาญ
กัญญ์อิฏฐา,กัน-อิ-ดา,หญิงผู้เป็นที่ปรารถนาและน่ารัก
กัญญา,กัน-ยา,หญิงสาวผู้เป็นที่รัก/หญิงงาม
กัญญาณัฏฐ์,กัน-ยา-นัด,หญิงนักปราชญ์ผู้มีปัญญา
กัญญาณัฐ,กัน-ยา-นัด,ผู้มีปัญญา
กัญญาณัฐ์,กัน-ยา-นัด,หญิงผู้เปี่ยมปัญญาและความรู้
กัญญาณัท,กัน-ยา-นัด,หญิงผู้เป็นที่รักและเปี่ยมปัญญา
กัญญานัฐ,กัน-ยา-นัด,หญิงผู้มีปัญญาและความมั่นคง
กัญญาภัค,กัน-ยา-พัก,หญิงผู้มีโชคและความเจริญ
กัญญารักษ์,กัน-ยา-รัก,หญิงผู้ปกป้องรักษาความดี
กัญญารัช,กัน-ยา-รัด,หญิงผู้รุ่งเรืองและมีอำนาจ
กัญญารัตน์,กัน-ยา-รัด,หญิงผู้ล้ำค่าดุจแก้วรัตนะ
กัญญาลภัส,กัน-ยา-ละ-พัด,หญิงผู้ได้รับแสงแห่งโชคลาภ
กัญญาวร,กัน-ยา-วอน,หญิงผู้ประเสริฐ
กัญญาวีร์,กัน-ยา-วี,หญิงผู้กล้าหาญ
กัญญาศิริ,กัน-ยา-สิ-หริ,หญิงผู้มีสิริมงคล
กัญญาอร,กัน-ยา-ออน,หญิงงามผู้อ่อนหวาน
กัญฐณณัฐ,กัน-ถะ-นัด,ผู้มีปัญญาและความมั่นคง
